100028	When light passes through the lens of your eye, it produces __________ image on the retina.	D	a smaller	a larger	an upright	an inverse
100035	Populations respond, over time, to changing environments through the process of __________.	A	adaptation	competition	ecological succession	extinction
100036	The number and sequence of amino acids in a protein determines its __________.	D	chemical properties	shape	size	All of the above
100050	When the core of a protostar has reached around 10 million K, the pressure within it is so immense that nuclear fusion of hydrogen begins and a __________ is born.	B	red giant	star	super red giant	black hole
100053	Male testes are located in an external scrotum because ________.	A	normal body temperature is too warm for sperm production	an external scrotum offers better protection for the testes	sperm is produced in the testes and stored in the epididymus	sperm cells must mix with seminal fluid before exiting the penis
100065	The process of moving gases into and out of an entire organism involves the use of the __________.	D	the digestive system	the nervous system	the excretory system	the respiratory system
100070	The relationship between force and mass is represented in the equation: Force = mass x acceleration In this relationship, if the mass of the object increases with no change in the force, the acceleration of the object will __________.	C	increase	not change	decrease	change direction
100090	The function of the mitochondria in plant cells is to __________.	A	release energy for cell growth, development, and movement	attach carbohydrates and lipids to proteins	make energy-rich food molecules	assemble proteins
100098	Fossil evidence can be used to tell us about all of these EXCEPT __________.	D	biological diversity (the kinds of organisms that lived)	episodic speciation (new species suddenly appearing after millions of years without changes to the species)	mass extinction (sudden disappearance of all evidence of an organism)	mutation rate (how fast mutations occur within a species)
100102	Paleontologists find and study fossilized organisms to determine the history and evolution of life on Earth.  A paleontologist is MOST likely to find more __________	D	ancient life forms in younger layers of sedimentary rock.	recently evolved organisms in undisturbed sedimentary rock layers.	ancient life forms in overturned sedimentary rock layers.	recently evolved organisms in younger layers of sedimentary rock.
100105	In order for cellular respiration to occur, oxygen and __________ are necessary.	B	carbon dioxide	glucose	water	ATP
100118	The nervous system controls and coordinates functions__________.	D	only throughout the brain	only through the spinal cord.	throughout both the brain and spinal cord	through the whole body, responding to both internal and external stimuli
100125	Chlorophyll is a pigment found within the chloroplast of a cell.  If scientists find chlorophyll in a sample of cells, they know that the cell sample came from  a(n) __________.	A	plant	animal	human	bacteria
100133	The information for protein synthesis is carried out of the nucleus to the ribosome by __________.	C	rRNA	tRNA	mRNA	DNA
100156	You are roasting marshmallows with your family and you burn your marshmallow.  You notice the black substance on your marshmallow and your dad tells you that it is a form of carbon.  One of the products in this reaction is the __________.	C	marshmallow	oxygen	carbon	energy (fire)
100157	As populations __________ in size, individual species start to exhibit various symptoms, including aggression, lack of caring for young, decreased fertility, and increased susceptibility to disease.	D	decrease	stay the same	shift	increase
100162	Prior to the 1952 experiments by Hershey and Chase, many scientists remained unconvinced about the exact location of genetic material in living things.  This was mainly because chromosomes are composed of both DNA and __________.	B	RNA	protein	mitochondrial DNA	chromatids
100175	The continuous changing of Earth's surface is evidence that supports the nebular hypothesis.  Earth's surface continues to change because of its __________.	A	layered structure	atmospheric gases	vast oceans	continental displacement
100189	Sperm and egg are necessary components of __________.	C	asexual reproduction	budding	sexual reproduction	mitosis
100192	An inherited trait __________.	C	is determined by a single gene	is determined by multiple genes	can be determined by one or more genes	is not determined by genes
100193	Minerals that contain elements and can be dated using radioactive dating are USUALLY formed during __________.	A	igneous rock formation	sedimentary rock formation	rock layering	weathering events
100194	One reason plant cells are different than animal cells is they contain a cell wall.  Cell walls are composed primarily of __________.	A	cellulose	glucose	a phospholipid bilayer	chlorophyll
100202	The nucleus can control the function of the cell because it contains the  __________.	B	cytoplasm	genetic material of the cell	nuclear envelope	cell membrane
100204	Astronomers know planets are closer to Earth than stars by __________.	A	observing the movements of planets	observing the surfaces of the sun and planets	observing the orbits of comets	observing a star's motion
100239	Nuclear fusions that occur within a star's core are responsible for __________.	A	the production of visible light	the creation of elements	gravitational compression	the star's mass
100267	Both volcanic eruptions and asteroid impacts have catastrophically affected the climate because of __________.	A	injection into the atmosphere of large amounts of fine-grained particles	the massive amount of energy released in the form of a huge explosion	immense earthquakes changing the features of the Earth's surface and ocean floor	introduction into the atmosphere of large amounts of gases that rapidly warmed the planet
100269	Sunblock protects the skin from the sun's harmful Ultraviolet A and Ultraviolet B waves.  Ultraviolet A and Ultraviolet B waves are __________.	A	shorter than visible light waves on the electromagnetic spectrum	longer than visible light waves on the electromagnetic spectrum	found within the band of visible light on the electromagnetic spectrum	barely visible to the human eye
100275	An image that can be projected onto a screen due to the fact that light can pass through it is called a __________.	D	refraction image	virtual image	reflection image	real image
100306	The __________ is the structure responsible for modifying proteins, packaging proteins into vesicles, and transporting them to the plasma membrane for secretion.	A	Golgi apparatus	nucleus	lysosome	ribosome
100308	Our solar system is located ____________ the Milky Way galaxy.	D	in the middle of	underneath	outside of	on the outer edge of
100317	A joint, like the one between the skull and vertebral column, in which a projection on one bone fits into a notch on another bone, is classified as a __________.	C	ball-and-socket joint	hinge joint	pivot joint	sliding joint
100324	The FIRST time that a huge number of different organisms evolved at the same time was during the __________ Era.	B	Precambrian	Paleozoic	Cambrian	Mesozoic
100334	A population of species with little genetic variation is __________.	B	less likely to become extinct	more likely to become extinct	more likely to be effected by environmental factors	less likely to be effected by environmental factors
100344	Cells contain the hereditary information necessary for __________.	A	regulating cell functions and passing information on to the next generation of cells	predicting DNA sequences in humans	creating identical daughter cells	producing two identical gametes
100346	Healthy bone tissue is constantly being built and rebuilt by many individual bone cells called __________.	B	veins and capillaries	osteoblasts and osteoclasts	red blood cells and white blood cells	red bone marrow and yellow bone marrow
100356	Polymers are made from __________.	C	macromolecules	monosaccharides	monomers	proteins
100357	In sexual reproduction, the offspring receives half of its genes from __________.	A	each parent	each sibling	itself	its offspring
100383	A large, heavy rock is easier to move when underwater than it is above the water because __________.	B	the buoyant force of air is greater than the buoyant force of water	the buoyant force of water is greater than the buoyant force of air	the density of the rock is greater in the air than it is underwater	the density of the rock is less in the air than it is underwater
100392	When the molecules in liquid water slow down, __________.	D	the water will not change	the water will begin to evaporate	the water will begin to melt	the water will begin to freeze
100396	One type of evidence that supported plate tectonics came from __________.	D	salinity of saltwater	atmospheric pressure	solar radiation	paleomagnetism
100402	__________, unlike __________, have cell walls that give shape and internal organization to each cell.	C	Animal cells, plant cells	Prokaryotes, eukaryotes	Plant cells, animal cells	Eukaryotes, prokaryotes
100409	The various steps in the Calvin Cycle of photosynthesis are best communicated through a __________.	B	scale model	labeled diagram	scientific map	scientific drawing
100417	The Milky Way galaxy is a(n) __________ galaxy.	C	elliptical	irregular	spiral or disc-shaped	square-shaped
100421	California condors have become endangered due to loss of natural habitat.  If future condor generations do not have characteristics that adapt to environmental changes, they will most likely _________.	D	migrate to a more suitable environment	acquire new traits through cross-species mating	produce smaller offspring until conditions change	become extinct
100424	Similarities in the body structure of different organisms provide evidence that supports the theory of evolution.  This type of evidence is known as __________.	C	geology	the fossil record	comparative anatomy	molecular biology
100428	In some areas deep currents are pulled toward the surface near continents.  These areas, BEST known as __________ are rich in marine organisms due to the nutrients brought to the surface.	B	gyres	upwellings	surface currents	density currents
100433	When organisms live within a competitive environment, the one with the highest fitness is most likely to survive and reproduce.  This concept of survival of the fittest, where the most well-adapted individual survives and reproduces, is known as__________.	B	artificial selection	natural selection	natural survival	struggle for existence
100436	An episode in the geological time scale where many species die out quickly is called a(n) __________.	C	explosion	asteroid impact	mass extinction	climate change
100438	A car is traveling at constant speed and direction.  If the car suddenly comes to a complete stop, the passengers in the car will continue in the same __________.	B	direction, but slow down and come to a stop if acted upon by a balanced force	direction and speed, unless acted upon by an unbalanced force	speed, but change direction unless acted upon by an unbalance force	speed and direction, unless acted upon by a balanced force
100447	For human skin color there is a gene which controls red tones and a gene which controls dark brown tones in each individual.  Therefore you can deduce that for human skin color, __________.	A	multiple genes are used to determine this single trait	the gene for one color comes from one parent, and the gene for the other color comes from the other parent	the color of your skin is based upon you receiving the red gene or the brown gene	All of the above statements are correct.
100454	Writing careful procedures and controlling any and all known variables in an experiment will increase the chances that the data from the experiment  is __________.	B	supported by the hypothesis	able to be reproduced	explained in the conclusion	properly presented in a graph
100465	All proteins __________.	C	contain the same number of amino acids	have the same shape	are composed of combinations of the same amino acids	contain the same sequence of amino acids
100469	"Elias is examining an unknown substance discovered within a meteorite called ""compound X"".  He is using an electron microscope to examine the particles of the substance.  The particles of compound X appear to be weakly attracted to each other and are able to slide past one another freely.  Compound X is MOST likely a __________?"	B	solid	liquid	gas	plasma
100474	The fossil record shows the order of evolutionary change __________.	A	in different layers of the earth	in mountain ranges	as evidenced by dinosaurs	by the extinction of species
100479	The Earth is kept in its rotational orbit around the Sun by __________.	A	gravitational forces	magnetic force	nuclear forces	electric forces
100497	Plants convert carbon dioxide and water into sugar through a process called __________.	D	aerobic respiration	fermentation	metabolism	photosynthesis
100506	Your science instructor gives you a sample of an element and asks you to classify it based on its properties.  You find that this substance is a poor conductor of electrical current, a poor conductor of heat, and its appearance is dull and brittle.  Based on these observations, you can determine that the substance is a __________.	A	nonmetal	semimetal	metal	none of the above
100508	A protein structure is determined by the __________ in the protein.	C	specific sequence of carbohydrates	random order of amino acids	specific sequence of amino acids	undetermined sequence of lipids
100528	The __________ of an element is determined by how tightly the electrons in the element are held to the individual atom.	D	thermal conductivity	melting temperature	electrical conductivity	both A and C
100540	The place within Earth's crust where the earthquake originated is called the __________.	D	epicenter	fault	fracture	focus
100542	All of the following gases are responsible for absorbing Earth's thermal radiation EXCEPT __________.	B	chlorofluorocarbons	molecular oxygen	nitrous oxide	water vapor
100556	Oral presentations and written reports communicate information discovered through a scientific process that usually begins with ____________.	D	formulating predictions.	testing a hypothesis.	analyzing observations.	posing testable questions.
100565	A heterotroph that feeds only on plants is a(n) __________.	A	herbivore	carnivore	omnivore	detritivore
100567	Scientists believe that in early history, the runaway greenhouse effect on Venus lead to its __________.	D	thinning atmosphere	decreasing volcanic activity	cooling atmosphere	evaporating oceans
100568	Visible light is part of the __________.	B	rainbow	electromagnetic spectrum	retina	gamma rays
100576	After a cell splits through the process of mitosis, _________ cells are the result.	C	zero	four	two	eight
100579	The two primary processes involved in the cycling of carbon are photosynthesis and __________.	D	evaporation	decomposition	circulation	respiration
100580	Nonspecific defenses against disease include the barrier of the skin and the inflammation response.  These defenses are called nonspecific because they __________.	D	are ineffective against specific pathogens	change the response depending on the invader's antigens	release several different kinds of immune cells	do not target antigens with antibodies
100590	If an object traveling suddenly changes in speed and direction, then the object must have been acted upon by __________.	C	decelerating forces	accelerating forces	unbalanced forces	balanced forces
100595	Over millions of years __________ break down organisms into fossil fuels, which contain carbon molecules. These carbon molecules are then used in photosynthesis by __________ to make oxygen for living organisms.	A	decomposers, producers	decomposers, consumers	producers, consumers	consumers, producers
100596	New combinations of alleles may be formed in a(n) __________ via male and female gamete fusion.	B	egg	zygote	sperm	clone
